taille;"tri séléction";"tri insertion";"tri sort"
  0;    0.00;    0.00;    0.00
  1;    0.00;    0.00;    0.00
  2;    1.00;    1.00;    1.00
  3;    3.00;    2.66;    3.08
  4;    6.00;    5.18;    5.42
  5;   10.00;    7.88;    7.84
  6;   15.00;   10.96;   10.48
  7;   21.00;   14.58;   13.46
  8;   28.00;   18.32;   16.18
  9;   36.00;   24.88;   19.46
 10;   45.00;   28.22;   23.26
 11;   55.00;   35.34;   26.54
 12;   66.00;   41.74;   30.52
 13;   78.00;   49.90;   33.78
 14;   91.00;   56.18;   37.90
 15;  105.00;   64.44;   41.60
 16;  120.00;   72.26;   45.88
 17;  136.00;   82.94;   49.88
 18;  153.00;   93.36;   54.12
 19;  171.00;  100.72;   58.32
 20;  190.00;  113.70;   62.76
 21;  210.00;  122.40;   67.42
 22;  231.00;  134.88;   71.82
 23;  253.00;  146.38;   76.22
 24;  276.00;  153.36;   80.80
 25;  300.00;  177.18;   86.06
 26;  325.00;  186.40;   90.18
 27;  351.00;  194.68;   95.60
 28;  378.00;  215.40;  100.20
 29;  406.00;  222.72;  105.18
 30;  435.00;  245.44;  109.92
 31;  465.00;  269.36;  114.86
 32;  496.00;  270.70;  119.74
 33;  528.00;  296.16;  125.26
 34;  561.00;  312.86;  130.30
 35;  595.00;  327.24;  135.38
 36;  630.00;  350.10;  140.66
 37;  666.00;  357.28;  145.68
 38;  703.00;  387.74;  151.00
 39;  741.00;  407.38;  156.88
 40;  780.00;  430.24;  161.70
 41;  820.00;  453.90;  167.82
 42;  861.00;  463.82;  172.22
 43;  903.00;  494.52;  178.30
 44;  946.00;  514.48;  183.78
 45;  990.00;  541.22;  189.70
 46; 1035.00;  563.18;  195.14
 47; 1081.00;  582.24;  200.72
 48; 1128.00;  622.98;  206.32
 49; 1176.00;  615.42;  211.94
 50; 1225.00;  661.32;  217.72
 51; 1275.00;  683.54;  223.38
 52; 1326.00;  711.18;  229.54
 53; 1378.00;  737.98;  235.44
 54; 1431.00;  762.48;  241.46
 55; 1485.00;  776.44;  246.36
 56; 1540.00;  815.42;  252.20
 57; 1596.00;  852.12;  258.52
 58; 1653.00;  884.40;  264.38
 59; 1711.00;  917.28;  269.78
 60; 1770.00;  949.96;  276.06
 61; 1830.00;  958.00;  282.80
 62; 1891.00; 1014.08;  288.16
 63; 1953.00; 1033.30;  294.82
 64; 2016.00; 1073.04;  302.92
 65; 2080.00; 1092.66;  308.74
 66; 2145.00; 1138.18;  314.78
 67; 2211.00; 1177.66;  320.64
 68; 2278.00; 1204.58;  327.02
 69; 2346.00; 1232.60;  333.68
 70; 2415.00; 1268.50;  338.88
 71; 2485.00; 1292.00;  345.06
 72; 2556.00; 1349.52;  350.96
 73; 2628.00; 1354.54;  357.64
 74; 2701.00; 1414.76;  365.06
 75; 2775.00; 1460.40;  370.16
 76; 2850.00; 1523.64;  376.72
 77; 2926.00; 1566.72;  382.82
 78; 3003.00; 1582.02;  389.08
 79; 3081.00; 1676.20;  396.40
 80; 3160.00; 1640.52;  402.52
 81; 3240.00; 1694.54;  409.92
 82; 3321.00; 1695.72;  415.58
 83; 3403.00; 1776.52;  422.72
 84; 3486.00; 1828.36;  428.26
 85; 3570.00; 1875.54;  434.44
 86; 3655.00; 1901.70;  441.04
 87; 3741.00; 1952.58;  448.48
 88; 3828.00; 1975.20;  453.44
 89; 3916.00; 2023.80;  460.72
 90; 4005.00; 2068.52;  468.16
 91; 4095.00; 2122.06;  473.58
 92; 4186.00; 2196.36;  480.90
 93; 4278.00; 2236.38;  486.96
 94; 4371.00; 2281.76;  493.54
 95; 4465.00; 2346.52;  500.02
 96; 4560.00; 2390.14;  507.66
 97; 4656.00; 2417.50;  513.76
 98; 4753.00; 2453.08;  521.82
 99; 4851.00; 2481.62;  527.90
100; 4950.00; 2551.30;  534.66
