taille;"meilleur cas";"cas moyen";"pire cas"
  0 ; 0.000207 ; 0.000320 ; 0.000367
  1 ; 0.000207 ; 0.000079 ; 0.000197
  2 ; 0.000469 ; 0.000548 ; 0.000603
  3 ; 0.000766 ; 0.000765 ; 0.001065
  4 ; 0.000883 ; 0.001584 ; 0.001776
  5 ; 0.001179 ; 0.002064 ; 0.002495
  6 ; 0.001352 ; 0.002896 ; 0.003483
  7 ; 0.001573 ; 0.003430 ; 0.004922
  8 ; 0.001764 ; 0.004395 ; 0.005760
  9 ; 0.001952 ; 0.005363 ; 0.007157
 10 ; 0.002089 ; 0.006579 ; 0.008992
 11 ; 0.002483 ; 0.007370 ; 0.011265
 12 ; 0.002766 ; 0.008904 ; 0.013009
 13 ; 0.002879 ; 0.008983 ; 0.014600
 14 ; 0.002899 ; 0.011443 ; 0.017578
 15 ; 0.003121 ; 0.012270 ; 0.019622
 16 ; 0.003530 ; 0.012556 ; 0.021818
 17 ; 0.003953 ; 0.013866 ; 0.025346
 18 ; 0.003769 ; 0.017653 ; 0.027943
 19 ; 0.003924 ; 0.019493 ; 0.031224
 20 ; 0.004269 ; 0.020493 ; 0.034283
 21 ; 0.004863 ; 0.022272 ; 0.037073
 22 ; 0.004641 ; 0.023802 ; 0.040518
 23 ; 0.004856 ; 0.024902 ; 0.045388
 24 ; 0.005717 ; 0.027376 ; 0.048327
 25 ; 0.005154 ; 0.029066 ; 0.053366
 26 ; 0.005406 ; 0.031696 ; 0.056538
 27 ; 0.006409 ; 0.033343 ; 0.062754
 28 ; 0.005873 ; 0.037745 ; 0.064284
 29 ; 0.006330 ; 0.039495 ; 0.068321
 30 ; 0.006357 ; 0.042680 ; 0.076383
 31 ; 0.007018 ; 0.045278 ; 0.079875
 32 ; 0.007005 ; 0.046462 ; 0.084491
 33 ; 0.006875 ; 0.049724 ; 0.088977
 34 ; 0.007609 ; 0.052280 ; 0.095475
 35 ; 0.007743 ; 0.055013 ; 0.101021
 36 ; 0.007593 ; 0.059381 ; 0.105891
 37 ; 0.007858 ; 0.060918 ; 0.111529
 38 ; 0.008503 ; 0.063974 ; 0.116287
 39 ; 0.009493 ; 0.066800 ; 0.122171
 40 ; 0.008746 ; 0.074070 ; 0.131648
 41 ; 0.009096 ; 0.076799 ; 0.135445
 42 ; 0.008944 ; 0.079002 ; 0.141732
 43 ; 0.009193 ; 0.081350 ; 0.149840
 44 ; 0.009689 ; 0.085063 ; 0.156829
 45 ; 0.009684 ; 0.087410 ; 0.165596
 46 ; 0.010089 ; 0.092168 ; 0.173591
 47 ; 0.010161 ; 0.096840 ; 0.177487
 48 ; 0.010152 ; 0.107488 ; 0.185545
 49 ; 0.010631 ; 0.107195 ; 0.192435
 50 ; 0.010763 ; 0.113375 ; 0.200523
 51 ; 0.010850 ; 0.115425 ; 0.212030
 52 ; 0.011376 ; 0.116006 ; 0.219278
 53 ; 0.011531 ; 0.123024 ; 0.225344
 54 ; 0.011605 ; 0.127900 ; 0.235567
 55 ; 0.011907 ; 0.130606 ; 0.243354
 56 ; 0.012359 ; 0.138099 ; 0.258803
 57 ; 0.013717 ; 0.143156 ; 0.264234
 58 ; 0.013067 ; 0.144655 ; 0.275983
 59 ; 0.012886 ; 0.154313 ; 0.281783
 60 ; 0.013275 ; 0.159873 ; 0.290471
 61 ; 0.013184 ; 0.162069 ; 0.297848
 62 ; 0.013705 ; 0.165009 ; 0.308347
 63 ; 0.013364 ; 0.172102 ; 0.319164
 64 ; 0.014335 ; 0.179878 ; 0.330677
 65 ; 0.014202 ; 0.178965 ; 0.340175
 66 ; 0.014058 ; 0.189035 ; 0.351040
 67 ; 0.014562 ; 0.200238 ; 0.363088
 68 ; 0.014599 ; 0.199109 ; 0.375342
 69 ; 0.014988 ; 0.204475 ; 0.383334
 70 ; 0.015096 ; 0.206976 ; 0.393504
 71 ; 0.015803 ; 0.218300 ; 0.404492
 72 ; 0.016396 ; 0.217317 ; 0.422939
 73 ; 0.016347 ; 0.229562 ; 0.441496
 74 ; 0.016197 ; 0.237458 ; 0.442736
 75 ; 0.016096 ; 0.246878 ; 0.465817
 76 ; 0.016724 ; 0.247082 ; 0.476529
 77 ; 0.017090 ; 0.250324 ; 0.483897
 78 ; 0.017603 ; 0.260438 ; 0.497955
 79 ; 0.017313 ; 0.264882 ; 0.510224
 80 ; 0.018024 ; 0.269867 ; 0.517253
 81 ; 0.017737 ; 0.278116 ; 0.533891
 82 ; 0.017845 ; 0.279314 ; 0.536633
 83 ; 0.017883 ; 0.290210 ; 0.549397
 84 ; 0.018421 ; 0.303713 ; 0.560523
 85 ; 0.019137 ; 0.312393 ; 0.585028
 86 ; 0.019015 ; 0.319622 ; 0.601683
 87 ; 0.019212 ; 0.341910 ; 0.610649
 88 ; 0.019418 ; 0.330572 ; 0.620841
 89 ; 0.020011 ; 0.336804 ; 0.631716
 90 ; 0.020548 ; 0.342191 ; 0.661236
 91 ; 0.020341 ; 0.351909 ; 0.663890
 92 ; 0.020370 ; 0.348973 ; 0.673246
 93 ; 0.020756 ; 0.359856 ; 0.691554
 94 ; 0.021005 ; 0.373267 ; 0.708162
 95 ; 0.021949 ; 0.375734 ; 0.720046
 96 ; 0.021068 ; 0.387226 ; 0.737546
 97 ; 0.023244 ; 0.402012 ; 0.759372
 98 ; 0.024274 ; 0.409624 ; 0.778830
 99 ; 0.022106 ; 0.423294 ; 0.783159
100 ; 0.021604 ; 0.429497 ; 0.802955
