taille;"tri_selection"
  0 ; 0.000198
  1 ; 0.000207
  2 ; 0.000982
  3 ; 0.001575
  4 ; 0.001962
  5 ; 0.002754
  6 ; 0.003547
  7 ; 0.004654
  8 ; 0.006214
  9 ; 0.006930
 10 ; 0.008769
 11 ; 0.010233
 12 ; 0.011786
 13 ; 0.013887
 14 ; 0.015195
 15 ; 0.016547
 16 ; 0.018952
 17 ; 0.021349
 18 ; 0.023149
 19 ; 0.025515
 20 ; 0.029340
 21 ; 0.033092
 22 ; 0.034709
 23 ; 0.036917
 24 ; 0.039850
 25 ; 0.042570
 26 ; 0.046400
 27 ; 0.049586
 28 ; 0.054878
 29 ; 0.054000
 30 ; 0.059149
 31 ; 0.061667
 32 ; 0.066371
 33 ; 0.069050
 34 ; 0.072642
 35 ; 0.077419
 36 ; 0.082420
 37 ; 0.085327
 38 ; 0.104271
 39 ; 0.095375
 40 ; 0.104719
 41 ; 0.108450
 42 ; 0.119491
 43 ; 0.124205
 44 ; 0.123953
 45 ; 0.198965
 46 ; 0.138634
 47 ; 0.143795
 48 ; 0.160077
 49 ; 0.174222
 50 ; 0.157320
 51 ; 0.168529
 52 ; 0.172522
 53 ; 0.187080
 54 ; 0.187718
 55 ; 0.185836
 56 ; 0.192328
 57 ; 0.199007
 58 ; 0.207277
 59 ; 0.221543
 60 ; 0.239486
 61 ; 0.231589
 62 ; 0.237182
 63 ; 0.244573
 64 ; 0.253907
 65 ; 0.254295
 66 ; 0.271925
 67 ; 0.274598
 68 ; 0.276331
 69 ; 0.303134
 70 ; 0.316699
 71 ; 0.305151
 72 ; 0.325975
 73 ; 0.334066
 74 ; 0.344581
 75 ; 0.363796
 76 ; 0.362990
 77 ; 0.376706
 78 ; 0.386172
 79 ; 0.380989
 80 ; 0.385016
 81 ; 0.397776
 82 ; 0.405990
 83 ; 0.423408
 84 ; 0.425169
 85 ; 0.436547
 86 ; 0.462810
 87 ; 0.455017
 88 ; 0.459125
 89 ; 0.462448
 90 ; 0.479090
 91 ; 0.492529
 92 ; 0.503506
 93 ; 0.534342
 94 ; 0.525015
 95 ; 0.531504
 96 ; 0.542036
 97 ; 0.546086
 98 ; 0.553845
 99 ; 0.569977
100 ; 0.635432
